TIME,CH2
-4.652,0.01
-4.651,0.01
-4.650,0.03
-4.649,0.01
-4.648,0.03
-4.647,0.01
-4.646,0.01
-4.645,0.01
-4.644,-0.01
-4.643,0.01
-4.642,-0.01
-4.641,-0.01
-4.640,0.01
-4.639,-0.01
-4.638,0.01
-4.637,0.03
-4.636,0.01
-4.635,0.01
-4.634,0.01
-4.633,0.01
-4.632,0.01
-4.631,0.01
-4.630,0.01
-4.629,0.01
-4.628,-0.01
-4.627,-0.01
-4.626,0.01
-4.625,0.01
-4.624,0.01
-4.623,0.01
-4.622,0.01
-4.621,0.01
-4.620,0.01
-4.619,0.01
-4.618,0.01
-4.617,0.01
-4.616,0.01
-4.615,0.01
-4.614,0.01
-4.613,0.01
-4.612,0.01
-4.611,-0.01
-4.610,0.01
-4.609,0.01
-4.608,0.01
-4.607,0.01
-4.606,0.03
-4.605,0.01
-4.604,0.01
-4.603,-0.01
-4.602,0.01
-4.601,0.01
-4.600,0.01
-4.599,0.01
-4.598,0.01
-4.597,0.01
-4.596,0.01
-4.595,0.01
-4.594,0.01
-4.593,0.01
-4.592,-0.01
-4.591,-0.01
-4.590,-0.01
-4.589,0.03
-4.588,0.01
-4.587,0.01
-4.586,0.01
-4.585,0.01
-4.584,0.05
-4.583,0.01
-4.582,0.01
-4.581,0.01
-4.580,0.01
-4.579,0.01
-4.578,0.01
-4.577,0.01
-4.576,0.01
-4.575,0.01
-4.574,0.01
-4.573,0.01
-4.572,-0.01
-4.571,-0.01
-4.570,0.01
-4.569,0.01
-4.568,0.01
-4.567,0.03
-4.566,0.01
-4.565,0.01
-4.564,0.01
-4.563,0.03
-4.562,0.03
-4.561,0.01
-4.560,0.01
-4.559,0.01
-4.558,-0.01
-4.557,0.01
-4.556,0.01
-4.555,0.01
-4.554,-0.01
-4.553,0.01
-4.552,0.01
-4.551,0.01
-4.550,0.01
-4.549,0.01
-4.548,0.01
-4.547,-0.01
-4.546,0.03
-4.545,0.01
-4.544,0.01
-4.543,0.01
-4.542,-0.01
-4.541,0.03
-4.540,0.01
-4.539,0.01
-4.538,0.01
-4.537,0.01
-4.536,0.01
-4.535,0.01
-4.534,0.01
-4.533,0.01
-4.532,0.01
-4.531,0.03
-4.530,0.01
-4.529,0.01
-4.528,0.01
-4.527,-0.01
-4.526,-0.01
-4.525,-0.01
-4.524,-0.01
-4.523,-0.03
-4.522,0.01
-4.521,0.01
-4.520,0.01
-4.519,0.01
-4.518,0.01
-4.517,0.01
-4.516,0.01
-4.515,0.01
-4.514,0.01
-4.513,0.01
-4.512,0.01
-4.511,0.01
-4.510,0.03
-4.509,0.01
-4.508,0.01
-4.507,0.01
-4.506,0.03
-4.505,0.01
-4.504,0.01
-4.503,0.01
-4.502,0.01
-4.501,0.01
-4.500,0.01
-4.499,0.03
-4.498,0.03
-4.497,0.01
-4.496,0.01
-4.495,-0.01
-4.494,0.01
-4.493,0.01
-4.492,0.01
-4.491,-0.01
-4.490,0.01
-4.489,-0.01
-4.488,0.01
-4.487,0.01
-4.486,-0.01
-4.485,0.01
-4.484,0.01
-4.483,0.01
-4.482,0.03
-4.481,0.01
-4.480,0.01
-4.479,0.01
-4.478,0.01
-4.477,-0.01
-4.476,0.01
-4.475,0.01
-4.474,0.01
-4.473,0.01
-4.472,0.01
-4.471,0.01
-4.470,0.01
-4.469,0.01
-4.468,-0.01
-4.467,0.01
-4.466,0.01
-4.465,0.01
-4.464,0.03
-4.463,0.01
-4.462,0.01
-4.461,0.01
-4.460,0.03
-4.459,-0.01
-4.458,0.01
-4.457,0.01
-4.456,0.01
-4.455,0.01
-4.454,-0.01
-4.453,0.01
-4.452,0.01
-4.451,0.01
-4.450,0.03
-4.449,0.01
-4.448,0.01
-4.447,0.03
-4.446,0.03
-4.445,0.01
-4.444,-0.01
-4.443,0.01
-4.442,0.01
-4.441,0.03
-4.440,-0.01
-4.439,-0.01
-4.438,0.01
-4.437,-0.01
-4.436,0.01
-4.435,0.01
-4.434,0.03
-4.433,0.01
-4.432,0.01
-4.431,0.01
-4.430,0.01
-4.429,0.01
-4.428,0.01
-4.427,0.01
-4.426,0.01
-4.425,0.01
-4.424,0.01
-4.423,0.01
-4.422,0.01
-4.421,0.01
-4.420,0.03
-4.419,-0.01
-4.418,0.01
-4.417,-0.01
-4.416,0.01
-4.415,0.01
-4.414,0.03
-4.413,0.01
-4.412,0.03
-4.411,0.01
-4.410,0.01
-4.409,-0.01
-4.408,0.01
-4.407,0.01
-4.406,0.01
-4.405,0.01
-4.404,0.01
-4.403,0.03
-4.402,0.03
-4.401,0.01
-4.400,0.01
-4.399,-0.01
-4.398,0.01
-4.397,0.03
-4.396,0.01
-4.395,0.01
-4.394,0.01
-4.393,0.01
-4.392,0.03
-4.391,-0.01
-4.390,0.01
-4.389,-0.01
-4.388,0.01
-4.387,-0.01
-4.386,0.01
-4.385,0.01
-4.384,0.01
-4.383,0.01
-4.382,0.01
-4.381,0.03
-4.380,0.01
-4.379,0.03
-4.378,0.01
-4.377,0.01
-4.376,0.01
-4.375,-0.01
-4.374,-0.01
-4.373,-0.01
-4.372,0.01
-4.371,0.01
-4.370,0.01
-4.369,0.01
-4.368,0.01
-4.367,0.01
-4.366,0.01
-4.365,0.01
-4.364,0.01
-4.363,0.01
-4.362,0.01
-4.361,0.01
-4.360,0.01
-4.359,0.01
-4.358,0.03
-4.357,-0.01
-4.356,-0.01
-4.355,0.01
-4.354,0.01
