TIME,CH2
-4.6,0
-4.6,0
-4.6,0
-4.6,0
-4.6,-0.02
-4.6,0.02
-4.6,-0.02
-4.6,0
-4.6,0
-4.59,0
-4.59,0
-4.59,-0.02
-4.59,-0.02
-4.59,0
-4.59,0
-4.59,-0.02
-4.59,-0.02
-4.59,0
-4.59,-0.02
-4.58,0
-4.58,0
-4.58,0
-4.58,0.02
-4.58,0
-4.58,-0.02
-4.58,0
-4.58,0
-4.58,-0.02
-4.58,0
-4.57,0
-4.57,0
-4.57,0
-4.57,0
-4.57,0
-4.57,-0.02
-4.57,-0.02
-4.57,0
-4.57,-0.02
-4.57,-0.02
-4.56,-0.02
-4.56,-0.02
-4.56,-0.02
-4.56,-0.02
-4.56,0
-4.56,0
-4.56,-0.02
-4.56,0
-4.56,0
-4.56,0
-4.55,0
-4.55,0
-4.55,-0.02
-4.55,0
-4.55,0
-4.55,0
-4.55,0
-4.55,0
-4.55,-0.02
-4.55,0.02
-4.54,-0.02
-4.54,0
-4.54,0
-4.54,0
-4.54,0
-4.54,0
-4.54,0.02
-4.54,0
-4.54,-0.02
-4.54,-0.02
-4.53,0
-4.53,-0.02
-4.53,0
-4.53,0
-4.53,0
-4.53,0
-4.53,-0.02
-4.53,0
-4.53,0
-4.53,0
-4.52,0
-4.52,0
-4.52,0
-4.52,0
-4.52,0
-4.52,0
-4.52,-0.02
-4.52,0
-4.52,0
-4.52,-0.02
-4.51,-0.02
-4.51,0
-4.51,0
-4.51,0
-4.51,0.02
-4.51,0
-4.51,0
-4.51,0
-4.51,0
-4.51,-0.02
-4.5,-0.02
-4.5,0
-4.5,0
-4.5,0
-4.5,0
-4.5,0
-4.5,0
-4.5,0
-4.5,-0.02
-4.5,-0.02
-4.49,0
-4.49,0.02
-4.49,0
-4.49,-0.02
-4.49,0
-4.49,-0.02
-4.49,0
-4.49,0
-4.49,-0.02
-4.49,0
-4.48,0
-4.48,0
-4.48,0.02
-4.48,0
-4.48,0
-4.48,0
-4.48,-0.02
-4.48,0
-4.48,0.02
-4.48,0
-4.47,0
-4.47,0
-4.47,0
-4.47,0
-4.47,0
-4.47,0
-4.47,0
-4.47,-0.02
-4.47,0
-4.47,0
-4.46,-0.02
-4.46,0
-4.46,0
-4.46,0
-4.46,0
-4.46,0
-4.46,0.02
-4.46,0.02
-4.46,0
-4.46,0
-4.45,-0.02
-4.45,0
-4.45,0
-4.45,0
-4.45,0
-4.45,-0.02
-4.45,-0.02
-4.45,0
-4.45,0
-4.45,0
-4.44,0.02
-4.44,0
-4.44,0
-4.44,-0.02
-4.44,0
-4.44,0
-4.44,0
-4.44,0
-4.44,0
-4.44,-0.02
-4.43,0.02
-4.43,0.02
-4.43,0
-4.43,-0.02
-4.43,-0.02
-4.43,0.02
-4.43,0
-4.43,0
-4.43,0
